year,country,region,happiness_rank,happiness_score,standard_error_of_happiness_score,lower_confidence_interval,upper_confidence_interval,dystopia_residual,explained_by_freedom_to_make_life_choices,explained_by_gdp_per_capita,explained_by_generosity,explained_by_healthy_life_expectancy,explained_by_perceptions_of_corruption,explained_by_social_support,freedom_to_make_life_choices,generosity,healthy_life_expectancy,perceptions_of_corruption,social_support,logged_gdp_per_capita,ladder_score_in_dystopia,id
2020,North Cyprus,West Europe,76,5.53550005,0.051037241,5.435467243,5.635532856,1.23668766,0.477885723,1.21279943,0.199160054,1.026124597,0.199802905,1.183089137,0.79529351,2.27159e-4,73.70222473,0.62611568,0.820356607,10.40570259,1.972316742,NA
2020,Greece,West Europe,77,5.514999866,0.046931833,5.423013687,5.606986046,2.016179085,0.173516348,1.128070116,0,0.979431748,0.048844352,1.168973565,0.541345119,-0.300907373,72.40525818,0.859931409,0.814380348,10.13232613,1.972316742,300
2020,Hong Kong,East Asia,78,5.510399818,0.046019029,5.420202732,5.600596905,0.673293114,0.459356517,1.376746058,0.288280904,1.136630654,0.332485437,1.243584275,0.779833794,0.134979904,76.77170563,0.420607209,0.845969081,10.9346714,1.972316742,344
2020,Croatia,Central and East Europe,79,5.504700184,0.037783645,5.430644035,5.578756332,1.676029205,0.381456882,1.109024286,0.113998979,0.900575578,0.012325006,1.311264873,0.714838803,-0.128538325,70.21490479,0.916495264,0.874623716,10.07087517,1.972316742,191
2020,Libya,Middle East and North Africa,80,5.488800049,0.060677204,5.36987257,5.607727528,1.888563156,0.451354057,1.021913767,0.142757699,0.615626633,0.172258079,1.196283698,0.773157001,-0.085054487,62.29999924,0.668779135,0.825942934,9.789815903,1.972316742,434
2020,Mongolia,East Asia,81,5.456200123,0.040313236,5.377186298,5.535213947,1.810527563,0.355703115,0.904872775,0.263885736,0.615788162,0.046533126,1.458930612,0.693351328,0.098093867,62.30448532,0.863511205,0.937142491,9.412186623,1.972316742,496
2020,Malaysia,Southeast Asia,82,5.384300232,0.048802696,5.288647175,5.479953289,1.319420815,0.596941531,1.168421626,0.274886161,0.788511872,0.062163133,1.17400229,0.894626856,0.114726797,67.10215759,0.839302301,0.816509426,10.26251888,1.972316742,458
2020,Vietnam,Southeast Asia,83,5.353499889,0.033800762,5.287250519,5.41974926,1.685977936,0.650835574,0.718092382,0.136488721,0.819133997,0.089848459,1.253074765,0.939592957,-0.094533332,67.9527359,0.79642123,0.849987149,8.809545517,1.972316742,704
2020,Indonesia,Southeast Asia,84,5.285600185,0.047692381,5.192122936,5.379077435,1.479573488,0.568161428,0.891720712,0.542646527,0.610437036,0.038278613,1.154800892,0.870614409,0.519586504,62.15584946,0.876296401,0.808379889,9.36975193,1.972316742,360
2020,Ivory Coast,Sub-Saharan Africa,85,5.233300209,0.073095515,5.090033054,5.376567364,3.081022501,0.397122532,0.537094414,0.169915587,0.154942513,0.093495794,0.799727261,0.727909327,-0.043991156,49.50377274,0.790771961,0.658048689,8.225561142,1.972316742,384
